   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   6    8   -2   1.005782    32.570023    -4.792636      32.9207        nan        nan   12
   6    8    2   1.005782    32.570023     4.792636      32.9207        nan        nan   12
   8    6   -2   1.005782    -7.235230   -59.399855      59.8389        nan        nan   12
   8    6    2   1.005782    -7.235230    59.399855      59.8389        nan        nan   12
   2   10    0   1.005782    14.403512    -0.000000      14.4035        nan        nan   12
  10    2    0   1.005782     8.603600    -0.000000       8.6036        nan        nan   12
   5    9    0   0.996248     0.000000    63.773524      63.7735        nan        nan   12
   9    4    3   0.996248    81.780275    34.538046      88.7744        nan        nan   12
   9    5    0   0.996248     0.000000    47.511040       47.511        nan        nan   12
   4    9   -3   0.996248    21.925224   -11.026218      24.5417        nan        nan   12
   4    9    3   0.996248   -21.925224   -11.026218      24.5417        nan        nan   12
   9    4   -3   0.996248    81.780275   -34.538046      88.7744        nan        nan   12
   6    6    6   0.986980   -62.095610    65.718409      90.4145        nan        nan    4
   6    6   -6   0.986980   -62.095610   -65.718409      90.4145        nan        nan    4
  10    2   -2   0.986980   -78.054512   -39.236385      87.3613        nan        nan   12
  10    2    2   0.986980   -78.054512    39.236385      87.3613        nan        nan   12
   6    7   -5   0.977967    77.885156   -32.013853       84.208        nan        nan   12
   6    7    5   0.977967   -77.885156   -32.013853       84.208        nan        nan   12
   7    6    5   0.977967    -7.758405    25.768706      26.9113        nan        nan   12
   7    6   -5   0.977967    -7.758405   -25.768706      26.9113        nan        nan   12
   5    9   -2   0.977967    26.617884     4.875440      27.0607        nan        nan   12
   5    9    2   0.977967   -26.617884     4.875440      27.0607        nan        nan   12
   9    5   -2   0.977967    -8.086880   -45.624640      46.3358        nan        nan   12
   9    5    2   0.977967     8.086880   -45.624640      46.3358        nan        nan   12
   3   10   -1   0.977967     4.495682    -7.994259      9.17166        nan        nan   12
   3   10    1   0.977967     4.495682     7.994259      9.17166        nan        nan   12
  10    3   -1   0.977967   -62.255137    49.706411      79.6645        nan        nan   12
  10    3    1   0.977967    62.255137    49.706411      79.6645        nan        nan   12
   7    7    4   0.960656    -7.661939    33.769951      34.6282        nan        nan   12
   8    5    5   0.960656   -57.839219    33.097850      66.6396        nan        nan   12
   7    7   -4   0.960656     7.661939    33.769951      34.6282        nan        nan   12
   7    8   -1   0.960656   -90.502215    -4.495294      90.6138        nan        nan   12
   7    8    1   0.960656   -90.502215     4.495294      90.6138        nan        nan   12
   8    5   -5   0.960656    57.839219    33.097850      66.6396        nan        nan   12
   8    7   -1   0.960656    28.743135    69.432572      75.1469        nan        nan   12
   8    7    1   0.960656   -28.743135    69.432572      75.1469        nan        nan   12
   6    8   -4   0.952339   -23.028947   -46.588456      51.9694        nan        nan   12
   6    8    4   0.952339   -23.028947    46.588456      51.9694        nan        nan   12
   8    6   -4   0.952339   -73.206293    -6.564324         73.5        nan        nan   12
   8    6    4   0.952339   -73.206293     6.564324         73.5        nan        nan   12
   4   10    0   0.952339   -73.950879     0.000000      73.9509        nan        nan   12
  10    4    0   0.952339  -120.002469     0.000000      120.002        nan        nan   12
   6    9   -1   0.944233   -70.114222   -23.197633      73.8521        nan        nan   12
   6    9    1   0.944233    70.114222   -23.197633      73.8521        nan        nan   12
   9    6   -1   0.944233   -46.060857    -5.974341      46.4467        nan        nan   12
   9    6    1   0.944233   -46.060857     5.974341      46.4467        nan        nan   12
  10    3   -3   0.944233    77.573171    25.462753      81.6453        nan        nan   12
  10    3    3   0.944233   -77.573171    25.462753      81.6453        nan        nan   12
   4   10    2   0.936332   -78.835267    25.601655      82.8881        nan        nan   12
  10    4   -2   0.936332    20.956340   -19.477476      28.6101        nan        nan   12
  10    4    2   0.936332    20.956340    19.477476      28.6101        nan        nan   12
   4   10   -2   0.936332   -78.835267   -25.601655      82.8881        nan        nan   12
   7    8    3   0.928625   -11.032018    26.205150      28.4326        nan        nan   12
   7    8   -3   0.928625   -11.032018   -26.205150      28.4326        nan        nan   12
   8    7   -3   0.928625    55.458936    39.913938      68.3287        nan        nan   12
   8    7    3   0.928625   -55.458936    39.913938      68.3287        nan        nan   12
   5    9   -4   0.928625   -18.865979    28.119070      33.8616        nan        nan   12
   5    9    4   0.928625    18.865979    28.119070      33.8616        nan        nan   12
   9    5   -4   0.928625   -70.407822   -25.166254      74.7703        nan        nan   12
   9    5    4   0.928625    70.407822   -25.166254      74.7703        nan        nan   12
  11    0    1   0.928625     0.000000    70.075464      70.0755        nan        nan   12
  11    1    0   0.928625     0.000000    41.315734      41.3157        nan        nan   12
   2   11    1   0.913766   100.897991   -39.347522      108.299        nan        nan   12
  11    2   -1   0.913766   -30.759050   -17.692961      35.4846        nan        nan   12
  11    2    1   0.913766   -30.759050    17.692961      35.4846        nan        nan   12
   6    9   -3   0.913766   -27.149728   -43.939793      51.6509        nan        nan   12
   6    9    3   0.913766    27.149728   -43.939793      51.6509        nan        nan   12
   9    6   -3   0.913766    64.467855    27.705049      70.1689        nan        nan   12
   9    6    3   0.913766    64.467855   -27.705049      70.1689        nan        nan   12
   5   10   -1   0.913766    26.877406    36.409667      45.2555        nan        nan   12
   5   10    1   0.913766    26.877406   -36.409667      45.2555        nan        nan   12
  10    5   -1   0.913766   -92.954221    15.982460      94.3182        nan        nan   12
  10    5    1   0.913766    92.954221    15.982460      94.3182        nan        nan   12
   2   11   -1   0.913766  -100.897991   -39.347522      108.299        nan        nan   12
   8    8    0   0.906599   -31.227259     0.000000      31.2273        nan        nan   12
   3   11    0   0.899598     0.000000    45.476940      45.4769        nan        nan   12
  11    3    0   0.899598    -0.000000   -29.788872      29.7889        nan        nan   12
   7    9    0   0.899598     0.000000    63.127265      63.1273        nan        nan   12
   9    7    0   0.899598     0.000000    47.707714      47.7077        nan        nan   12
   8    8   -2   0.892757   -33.938137    22.400439      40.6642        nan        nan   12
   8    8    2   0.892757   -33.938137   -22.400439      40.6642        nan        nan   12
  10    4   -4   0.892757    28.374969   -32.520767      43.1595        nan        nan   12
  10    4    4   0.892757    28.374969    32.520767      43.1595        nan        nan   12
   7    7   -6   0.886070   -23.926590   -47.140199      52.8647        nan        nan   12
   7    7    6   0.886070    23.926590   -47.140199      52.8647        nan        nan   12
  10    5    3   0.886070    -4.166576   -38.092956      38.3201        nan        nan   12
   3   11   -2   0.886070     2.968210    14.995178      15.2861        nan        nan   12
   3   11    2   0.886070    -2.968210    14.995178      15.2861        nan        nan   12
  11    3    2   0.886070   -35.087269    13.293869      37.5212        nan        nan   12
   7    9   -2   0.886070   -89.307123    -4.797659      89.4359        nan        nan   12
   7    9    2   0.886070    89.307123    -4.797659      89.4359        nan        nan   12
   9    7   -2   0.886070    -2.134498    13.478522      13.6465        nan        nan   12
   9    7    2   0.886070     2.134498    13.478522      13.6465        nan        nan   12
   5   10   -3   0.886070   -16.228095    39.610220      42.8056        nan        nan   12
   5   10    3   0.886070   -16.228095   -39.610220      42.8056        nan        nan   12
  10    5   -3   0.886070     4.166576   -38.092956      38.3201        nan        nan   12
  11    3   -2   0.886070    35.087269    13.293869      37.5212        nan        nan   12
   8    6   -6   0.879530    42.890426   -44.160846      61.5611        nan        nan   12
   8    6    6   0.879530    42.890426    44.160846      61.5611        nan        nan   12
   6   10    0   0.879530    16.831765    -0.000000      16.8318        nan        nan   12
  10    6    0   0.879530   -68.531502     0.000000      68.5315        nan        nan   12
   4   11   -1   0.873134   -37.089832    16.606046      40.6376        nan        nan   12
   4   11    1   0.873134    37.089832    16.606046      40.6376        nan        nan   12
  11    4   -1   0.873134   -18.740093    22.331496      29.1528        nan        nan   12
  11    4    1   0.873134   -18.740093   -22.331496      29.1528        nan        nan   12
   7    8   -5   0.873134   -47.482819     1.632098      47.5109        nan        nan   12
   7    8    5   0.873134   -47.482819    -1.632098      47.5109        nan        nan   12
   8    7   -5   0.873134   -47.117484    10.825101       48.345        nan        nan   12
   8    7    5   0.873134    47.117484    10.825101       48.345        nan        nan   12
   6   10   -2   0.866875   -46.602208   -13.473763      48.5109        nan        nan   12
   6   10    2   0.866875   -46.602208    13.473763      48.5109        nan        nan   12
  10    6   -2   0.866875   -46.729366    -0.246734        46.73        nan        nan   12
  10    6    2   0.866875   -46.729366     0.246734        46.73        nan        nan   12
   6    9    5   0.860748   -10.751321   -13.886034      17.5617        nan        nan   12
   9    6    5   0.860748   -64.288715    -4.632734      64.4554        nan        nan   12
   6    9   -5   0.860748    10.751321   -13.886034      17.5617        nan        nan   12
   9    6   -5   0.860748   -64.288715     4.632734      64.4554        nan        nan   12
   8    8   -4   0.854750   186.225464   -30.688052      188.737        nan        nan   12
   8    8    4   0.854750   186.225464    30.688052      188.737        nan        nan   12
  12    0    0   0.854750  -109.009680     0.000000       109.01        nan        nan    6
   8    9    1   0.848875     6.224772    34.987927      35.5373        nan        nan   12
   7    9    4   0.848875   -66.879809    -0.751569       66.884        nan        nan   12
   9    7   -4   0.848875   -15.902625   -18.377464      24.3028        nan        nan   12
   9    7    4   0.848875    15.902625   -18.377464      24.3028        nan        nan   12
   5   11    0   0.848875     0.000000    37.826313      37.8263        nan        nan   12
   4   11   -3   0.848875    -7.450338    26.417115      27.4476        nan        nan   12
   4   11    3   0.848875     7.450338    26.417115      27.4476        nan        nan   12
  11    4   -3   0.848875   -22.570083     1.703634      22.6343        nan        nan   12
  11    4    3   0.848875   -22.570083    -1.703634      22.6343        nan        nan   12
  11    5    0   0.848875    -0.000000    -3.164880      3.16488        nan        nan   12
   8    9   -1   0.848875    -6.224772    34.987927      35.5373        nan        nan   12
   7    9   -4   0.848875    66.879809    -0.751569       66.884        nan        nan   12
   9    8   -1   0.848875   -24.296986   -24.830091      34.7401        nan        nan   12
   9    8    1   0.848875   -24.296986    24.830091      34.7401        nan        nan   12
  12    1   -1   0.848875   -43.751525     2.302790      43.8121        nan        nan   12
  12    1    1   0.848875    43.751525     2.302790      43.8121        nan        nan   12
   2   12    0   0.843120    58.869466    -0.000000      58.8695        nan        nan   12
  12    2    0   0.843120   -21.512971     0.000000       21.513        nan        nan   12
   7   10   -1   0.837481  -103.887813   -17.318649      105.321        nan        nan   12
   7   10    1   0.837481  -103.887813    17.318649      105.321        nan        nan   12
  10    5    5   0.837481   -81.569538    10.583100      82.2532        nan        nan   12
  10    7   -1   0.837481   116.557089    11.856665      117.159        nan        nan   12
  10    7    1   0.837481  -116.557089    11.856665      117.159        nan        nan   12
   5   11   -2   0.837481   -42.092025    56.222402      70.2332        nan        nan   12
   5   11    2   0.837481    42.092025    56.222402      70.2332        nan        nan   12
  11    5   -2   0.837481    24.842716    10.276005      26.8841        nan        nan   12
  11    5    2   0.837481   -24.842716    10.276005      26.8841        nan        nan   12
  10    5   -5   0.837481    81.569538    10.583100      82.2532        nan        nan   12
  12    2    2   0.831953     4.502290    28.301160       28.657        nan        nan   12
   6   10   -4   0.831953    16.841970   -26.839474      31.6861        nan        nan   12
   6   10    4   0.831953    16.841970    26.839474      31.6861        nan        nan   12
  10    6   -4   0.831953    40.911843   -41.778181      58.4739        nan        nan   12
  10    6    4   0.831953    40.911843    41.778181      58.4739        nan        nan   12
  12    2   -2   0.831953     4.502290   -28.301160       28.657        nan        nan   12
   3   12   -1   0.826533   -11.515106     6.003119       12.986        nan        nan   12
   3   12    1   0.826533   -11.515106    -6.003119       12.986        nan        nan   12
  12    3   -1   0.826533     5.237714    74.781917      74.9651        nan        nan   12
  12    3    1   0.826533    -5.237714    74.781917      74.9651        nan        nan   12
   8    9   -3   0.826533    12.549620   -10.398481      16.2979        nan        nan   12
   8    9    3   0.826533   -12.549620   -10.398481      16.2979        nan        nan   12
   9    8   -3   0.826533   -44.536427    22.447868      49.8738        nan        nan   12
   9    8    3   0.826533   -44.536427   -22.447868      49.8738        nan        nan   12
  10    7    3   0.816003   -41.818453    27.572531      50.0902        nan        nan   12
   6   11   -1   0.816003   135.476894    31.874414      139.176        nan        nan   12
   6   11    1   0.816003  -135.476894    31.874414      139.176        nan        nan   12
  11    6   -1   0.816003   -25.477047   -33.762616      42.2965        nan        nan   12
  11    6    1   0.816003   -25.477047    33.762616      42.2965        nan        nan   12
   7   10   -3   0.816003    40.560011     5.825523      40.9762        nan        nan   12
   7   10    3   0.816003    40.560011    -5.825523      40.9762        nan        nan   12
  10    7   -3   0.816003    41.818453    27.572531      50.0902        nan        nan   12
   4   12    0   0.810887    64.710104    -0.000000      64.7101        nan        nan   12
  12    4    0   0.810887    89.082964    -0.000000       89.083        nan        nan   12
   8    7   -7   0.805866    -4.117237    18.124649      18.5864        nan        nan   12
   8    7    7   0.805866     4.117237    18.124649      18.5864        nan        nan   12
   9    9    0   0.805866    -0.000000    -6.414436      6.41444        nan        nan   12
   5   11   -4   0.805866    50.154300    66.360705      83.1817        nan        nan   12
   5   11    4   0.805866   -50.154300    66.360705      83.1817        nan        nan   12
  11    5   -4   0.805866     4.881172    23.649777      24.1482        nan        nan   12
  11    5    4   0.805866    -4.881172    23.649777      24.1482        nan        nan   12
  12    3   -3   0.805866     0.340195    59.658479      59.6594        nan        nan   12
  12    3    3   0.805866    -0.340195    59.658479      59.6594        nan        nan   12
   4   12    2   0.800937  -100.967850   -55.239735      115.091        nan        nan   12
   8    8    6   0.800937   -33.589427    31.814189      46.2644        nan        nan   12
   8   10    0   0.800937   -37.588841     0.000000      37.5888        nan        nan   12
  10    8    0   0.800937   106.990062    -0.000000       106.99        nan        nan   12
   4   12   -2   0.800937  -100.967850    55.239735      115.091        nan        nan   12
