   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   8    6    0   1.025700    27.379586    -0.000000      27.3796        nan        nan   12
  10    0    0   1.025700   -58.229419     0.000000      58.2294        nan        nan    6
   7    7   -2   1.015594    57.061097     9.739933      57.8864        nan        nan   12
   7    7    2   1.015594   -57.061097     9.739933      57.8864        nan        nan   12
  10    1   -1   1.015594    28.926380   -18.504884       34.339        nan        nan   12
  10    1    1   1.015594   -28.926380   -18.504884       34.339        nan        nan   12
   6    8   -2   1.005782    28.946557    -6.932360      29.7651        nan        nan   12
   6    8    2   1.005782    28.946557     6.932360      29.7651        nan        nan   12
   8    6   -2   1.005782    -4.567951   -46.761816      46.9844        nan        nan   12
   8    6    2   1.005782    -4.567951    46.761816      46.9844        nan        nan   12
   2   10    0   1.005782    11.749489    -0.000000      11.7495        nan        nan   12
  10    2    0   1.005782     4.864287    -0.000000      4.86429        nan        nan   12
   5    9    0   0.996248     0.000000    51.328647      51.3286        nan        nan   12
   9    4    3   0.996248    62.628442    33.552978      71.0502        nan        nan   12
   9    5    0   0.996248     0.000000    30.206997       30.207        nan        nan   12
   4    9   -3   0.996248    17.861675   -11.659198      21.3302        nan        nan   12
   4    9    3   0.996248   -17.861675   -11.659198      21.3302        nan        nan   12
   9    4   -3   0.996248    62.628442   -33.552978      71.0502        nan        nan   12
   6    6    6   0.986980   -47.669025    57.855580       74.964        nan        nan    4
   6    6   -6   0.986980   -47.669025   -57.855580       74.964        nan        nan    4
  10    2   -2   0.986980   -65.803280   -26.335816      70.8777        nan        nan   12
  10    2    2   0.986980   -65.803280    26.335816      70.8777        nan        nan   12
   6    7   -5   0.977967    58.836863   -24.650112      63.7919        nan        nan   12
   6    7    5   0.977967   -58.836863   -24.650112      63.7919        nan        nan   12
   7    6    5   0.977967   -10.074408    11.623233      15.3816        nan        nan   12
   7    6   -5   0.977967   -10.074408   -11.623233      15.3816        nan        nan   12
   5    9   -2   0.977967    14.693121     7.580360      16.5333        nan        nan   12
   5    9    2   0.977967   -14.693121     7.580360      16.5333        nan        nan   12
   9    5   -2   0.977967    -6.794205   -39.468427      40.0489        nan        nan   12
   9    5    2   0.977967     6.794205   -39.468427      40.0489        nan        nan   12
   3   10   -1   0.977967    -2.320185    -6.524637      6.92489        nan        nan   12
   3   10    1   0.977967    -2.320185     6.524637      6.92489        nan        nan   12
  10    3   -1   0.977967   -47.513077    37.121796      60.2953        nan        nan   12
  10    3    1   0.977967    47.513077    37.121796      60.2953        nan        nan   12
   7    7    4   0.960656    -6.446544    32.482451       33.116        nan        nan   12
   8    5    5   0.960656   -43.342645    22.613126       48.887        nan        nan   12
   7    7   -4   0.960656     6.446544    32.482451       33.116        nan        nan   12
   7    8   -1   0.960656   -69.335871    -1.916476      69.3624        nan        nan   12
   7    8    1   0.960656   -69.335871     1.916476      69.3624        nan        nan   12
   8    5   -5   0.960656    43.342645    22.613126       48.887        nan        nan   12
   8    7   -1   0.960656    20.807819    55.955667      59.6993        nan        nan   12
   8    7    1   0.960656   -20.807819    55.955667      59.6993        nan        nan   12
   6    8   -4   0.952339   -18.600228   -39.243909      43.4287        nan        nan   12
   6    8    4   0.952339   -18.600228    39.243909      43.4287        nan        nan   12
   8    6   -4   0.952339   -58.638033   -11.483908       59.752        nan        nan   12
   8    6    4   0.952339   -58.638033    11.483908       59.752        nan        nan   12
   4   10    0   0.952339   -56.742175     0.000000      56.7422        nan        nan   12
  10    4    0   0.952339   -91.971922     0.000000      91.9719        nan        nan   12
   6    9   -1   0.944233   -53.272732   -26.160846      59.3496        nan        nan   12
   6    9    1   0.944233    53.272732   -26.160846      59.3496        nan        nan   12
   9    6   -1   0.944233   -33.782866    -3.743417      33.9896        nan        nan   12
   9    6    1   0.944233   -33.782866     3.743417      33.9896        nan        nan   12
  10    3   -3   0.944233    61.705280    21.608810      65.3795        nan        nan   12
  10    3    3   0.944233   -61.705280    21.608810      65.3795        nan        nan   12
   4   10    2   0.936332   -58.933302    17.857692      61.5795        nan        nan   12
  10    4   -2   0.936332    21.028109    -8.713038      22.7618        nan        nan   12
  10    4    2   0.936332    21.028109     8.713038      22.7618        nan        nan   12
   4   10   -2   0.936332   -58.933302   -17.857692      61.5795        nan        nan   12
   7    8    3   0.928625   -12.432605    14.902594      19.4077        nan        nan   12
   7    8   -3   0.928625   -12.432605   -14.902594      19.4077        nan        nan   12
   8    7   -3   0.928625    38.718409    32.937443       50.833        nan        nan   12
   8    7    3   0.928625   -38.718409    32.937443       50.833        nan        nan   12
   5    9   -4   0.928625   -17.414663    21.544799      27.7029        nan        nan   12
   5    9    4   0.928625    17.414663    21.544799      27.7029        nan        nan   12
   9    5   -4   0.928625   -53.544588   -16.509137      56.0319        nan        nan   12
   9    5    4   0.928625    53.544588   -16.509137      56.0319        nan        nan   12
  11    0    1   0.928625     0.000000    46.867240      46.8672        nan        nan   12
  11    1    0   0.928625     0.000000    36.809637      36.8096        nan        nan   12
   2   11    1   0.913766    76.833105   -26.236410      81.1891        nan        nan   12
  11    2   -1   0.913766   -23.818007   -15.002554      28.1491        nan        nan   12
  11    2    1   0.913766   -23.818007    15.002554      28.1491        nan        nan   12
   6    9   -3   0.913766   -18.185071   -37.558172       41.729        nan        nan   12
   6    9    3   0.913766    18.185071   -37.558172       41.729        nan        nan   12
   9    6   -3   0.913766    45.813238    25.340215      52.3544        nan        nan   12
   9    6    3   0.913766    45.813238   -25.340215      52.3544        nan        nan   12
   5   10   -1   0.913766    16.467198    26.577339      31.2654        nan        nan   12
   5   10    1   0.913766    16.467198   -26.577339      31.2654        nan        nan   12
  10    5   -1   0.913766   -71.655012    12.340145      72.7098        nan        nan   12
  10    5    1   0.913766    71.655012    12.340145      72.7098        nan        nan   12
   2   11   -1   0.913766   -76.833105   -26.236410      81.1891        nan        nan   12
   8    8    0   0.906599   -18.923976     0.000000       18.924        nan        nan   12
   3   11    0   0.899598     0.000000    28.231197      28.2312        nan        nan   12
  11    3    0   0.899598    -0.000000   -21.694724      21.6947        nan        nan   12
   7    9    0   0.899598     0.000000    58.666151      58.6662        nan        nan   12
   9    7    0   0.899598     0.000000    30.634056      30.6341        nan        nan   12
   8    8   -2   0.892757   -28.452439     6.453843      29.1752        nan        nan   12
   8    8    2   0.892757   -28.452439    -6.453843      29.1752        nan        nan   12
  10    4   -4   0.892757    13.867159   -21.297412      25.4141        nan        nan   12
  10    4    4   0.892757    13.867159    21.297412      25.4141        nan        nan   12
   7    7   -6   0.886070   -16.093305   -36.440529       39.836        nan        nan   12
